Station,Mean Speed (km/h),Max Speed (km/h),Min Speed (km/h),Std Dev (km/h),Times ≥ 63 km/h,Times ≥ 117 km/h,Total Readings
Ta Kwu Ling,21.23076923076923,47.0,0.0,12.444625356564657,0,0,117
Lau Fau Shan,35.452991452991455,72.0,12.0,15.573793043673325,7,0,117
Sha Tin,17.615384615384617,40.0,1.0,8.61118574261984,0,0,117
Tsing Yi,23.811965811965813,42.0,4.0,8.609268886348119,0,0,117
Kai Tak,29.99145299145299,55.0,4.0,10.763520548350057,0,0,117
Cheung Chau,60.136752136752136,117.0,6.0,28.759078321673872,35,3,117
Sai Kung,37.88034188034188,89.0,6.0,17.724988397040313,12,0,117
Chek Lap Kok,43.64102564102564,85.0,11.0,17.0296200063208,17,0,117
